N°,Provincia,Rep.,Densidad,Punto_crioscópico,Proteína,Lactosa,Materia_grasa,Sólidos_totales,Bacterias_aerobias_mesófilas,Coliformes_totales
32,1,32,1.029,-0.552,3.1,4.7,3.4,11.2,2.08,2.18
33,1,33,1.028,-0.532,3.0,4.6,3.7,11.3,2.08,2.20
34,1,34,1.029,-0.548,3.1,4.7,4.0,11.8,3.20,3.49
35,1,35,1.030,-0.570,3.2,4.8,4.1,12.1,2.97,3.46
36,1,36,1.027,-0.510,2.9,4.4,4.1,11.4,2.90,2.45
37,1,37,1.029,-0.520,3.2,4.3,4.0,11.5,3.51,4.38
38,1,38,1.029,-0.571,3.1,4.2,4.1,11.4,3.63,4.29
39,1,39,1.029,-0.556,3.1,5.2,3.7,12.0,3.08,4.64
40,1,40,1.029,-0.559,3.1,4.5,2.7,10.3,3.60,4.36
41,1,41,1.030,-0.575,3.3,4.5,4.4,12.2,3.30,4.21
42,1,42,1.028,-0.551,3.1,4.7,4.6,12.4,3.75,4.30
43,1,43,1.027,-0.555,3.1,4.7,5.7,13.5,3.18,4.37
44,1,44,1.031,-0.612,3.4,4.5,5.1,13.0,2.65,4.34
45,1,45,1.028,-0.549,3.1,4.5,4.4,12.0,2.48,4.39
46,1,46,1.032,-0.631,3.5,5.2,5.1,13.8,2.30,4.09
47,1,47,1.028,-0.536,3.0,4.6,3.6,11.2,2.18,4.34
48,1,48,1.030,-0.555,3.2,4.9,4.3,12.4,3.48,4.05
49,1,49,1.028,-0.545,3.1,4.6,4.5,12.2,3.30,4.39
50,1,50,1.030,-0.556,3.2,4.8,3.1,11.1,2.18,4.38
51,1,51,1.029,-0.562,3.2,4.8,3.8,11.8,2.28,4.34
52,1,52,1.030,-0.582,3.3,4.9,4.4,12.6,2.40,4.52
53,2,1,1.032,-0.620,3.5,5.3,4.5,13.3,3.48,3.30
54,2,2,1.026,-0.510,2.9,4.3,5.0,12.2,4.85,3.70
55,2,3,1.031,-0.590,3.3,5.0,4.0,12.3,4.00,3.18
56,2,4,1.030,-0.580,3.3,4.9,4.7,12.9,2.75,3.60
57,2,5,1.027,-0.530,2.9,4.3,3.8,11.0,4.25,3.00
58,2,6,1.032,-0.620,3.5,5.3,4.5,13.3,3.66,3.30
59,2,7,1.028,-0.470,3.5,4.2,3.5,11.2,3.43,2.85
60,2,8,1.029,-0.520,3.2,4.8,4.5,12.5,4.26,2.90
61,2,9,1.028,-0.528,3.0,4.5,3.7,11.2,2.30,3.24
62,2,10,1.030,-0.540,3.1,4.7,2.9,10.7,3.76,2.08
63,2,11,1.030,-0.550,3.2,4.8,3.0,11.0,3.80,2.37
64,2,12,1.012,-0.430,2.2,3.3,4.6,10.1,3.72,3.09
65,2,13,1.027,-0.530,3.0,4.5,4.8,12.3,3.86,2.27
66,2,14,1.028,-0.520,3.0,4.5,3.7,11.2,3.78,2.16
67,2,15,1.027,-0.520,3.0,4.5,4.4,11.9,3.43,2.48
68,2,16,1.029,-0.530,3.1,4.6,2.9,10.6,3.53,3.79
69,2,17,1.029,-0.546,3.0,4.7,3.8,11.5,2.76,3.41
70,2,18,1.029,-0.534,3.1,4.7,4.1,11.9,2.81,3.16
71,2,19,1.028,-0.532,3.0,4.6,3.4,11.0,3.51,2.18
72,2,20,1.028,-0.467,2.7,4.0,4.5,11.2,2.75,2.40
73,2,21,1.027,-0.576,3.2,4.8,3.5,11.5,3.18,3.55
74,2,22,1.029,-0.547,3.1,4.7,4.0,11.8,3.99,2.37
75,2,23,1.028,-0.534,3.0,4.6,3.8,11.4,4.16,2.25
76,2,24,1.029,-0.598,3.0,4.7,3.9,11.6,2.89,2.38
77,2,25,1.031,-0.540,3.5,4.8,3.8,12.1,3.08,2.99
78,2,26,1.027,-0.520,2.9,4.4,4.5,11.8,2.77,3.08
79,2,27,1.026,-0.490,2.8,4.3,4.0,11.1,3.83,3.01
80,2,28,1.029,-0.570,3.2,4.8,4.4,12.4,3.65,3.26
81,2,29,1.029,-0.560,3.2,4.8,4.5,12.5,2.95,3.18
82,2,30,1.029,-0.540,3.0,5.0,3.8,11.8,4.00,3.54
83,2,31,1.027,-0.507,2.9,4.4,4.2,11.5,2.81,3.22
84,2,32,1.031,-0.620,3.4,5.2,5.1,13.7,4.63,3.99
85,2,33,1.027,-0.506,2.9,4.4,3.8,11.1,4.08,3.15
86,2,34,1.029,-0.560,3.1,4.7,4.6,12.4,2.57,3.28
87,2,35,1.028,-0.550,3.1,4.7,5.4,13.2,3.65,3.11
88,2,36,1.028,-0.560,3.1,4.7,5.6,13.4,3.83,2.86
89,2,37,1.029,-0.567,3.2,4.8,4.3,12.3,2.85,3.28
90,2,38,1.030,-0.560,3.2,4.8,3.8,11.8,2.60,2.90
91,2,39,1.030,-0.560,3.2,4.8,3.6,11.6,2.70,2.00
92,2,40,1.030,-0.580,3.3,4.9,4.4,12.6,3.51,3.08
93,2,41,1.030,-0.580,3.3,4.9,4.1,12.3,2.85,2.96
94,2,42,1.030,-0.570,3.5,4.5,3.7,11.7,2.65,3.11
95,2,43,1.027,-0.510,2.9,4.4,3.6,10.9,2.68,3.08
96,2,44,1.027,-0.500,2.9,4.4,3.8,11.1,2.85,3.18
97,2,45,1.028,-0.550,3.1,4.7,5.1,12.9,2.30,3.04
98,2,46,1.027,-0.520,2.9,4.5,3.7,11.1,1.70,2.99
99,2,47,1.027,-0.510,2.9,4.4,4.0,11.3,2.70,3.76
100,2,48,1.028,-0.570,3.2,4.5,3.6,11.3,2.89,3.23
101,2,49,1.031,-0.570,3.3,4.9,3.5,11.7,1.95,2.08
102,2,50,1.026,-0.530,3.0,4.5,5.2,12.7,1.30,2.11
103,2,51,1.028,-0.530,3.0,4.5,4.1,11.6,2.85,2.30
104,2,52,1.024,-0.450,2.6,3.9,3.0,9.5,1.85,2.08
105,2,53,1.029,-0.570,3.2,4.8,4.6,12.6,1.83,2.08
106,2,54,1.031,-0.570,4.3,5.1,4.0,13.4,2.70,1.00
107,2,55,1.030,-0.560,3.7,5.2,3.5,12.4,1.30,2.08
108,2,56,1.031,-0.580,4.0,5.6,4.0,13.6,1.70,1.00
109,2,57,1.032,-0.560,3.5,5.1,4.0,12.6,2.30,2.08
110,2,58,1.027,-0.490,2.8,4.2,3.0,10.0,2.54,2.15
111,2,59,1.026,-0.508,2.9,4.3,4.5,11.7,2.08,1.30
112,2,60,1.029,-0.560,3.1,4.7,4.3,12.1,2.18,1.85
113,2,61,1.025,-0.476,2.7,4.1,4.1,10.9,2.90,2.18
114,2,62,1.027,-0.510,2.9,4.4,3.3,10.6,2.83,3.88
115,2,63,1.027,-0.510,2.9,4.4,3.3,10.6,2.83,3.88
116,2,64,1.029,-0.580,3.8,4.8,4.6,13.2,2.53,3.45
117,2,65,1.026,-0.500,2.9,4.3,3.5,10.7,2.77,3.49
118,2,66,1.031,-0.590,3.3,5.0,4.0,12.3,2.63,3.41
119,2,67,1.030,-0.580,3.3,5.0,4.7,13.0,2.53,3.81
120,2,68,1.027,-0.590,2.9,4.4,3.3,10.6,2.83,3.88
121,2,69,1.028,-0.490,3.1,4.4,3.4,10.9,2.85,3.94
122,2,70,1.027,-0.510,3.3,4.6,3.6,11.5,2.70,3.79
123,2,71,1.028,-0.510,3.0,4.1,3.6,10.7,2.67,3.63
124,2,72,1.027,-0.510,3.5,4.5,4.0,12.0,2.96,3.67
125,2,73,1.028,-0.490,3.5,4.2,3.5,11.2,2.91,3.67
126,2,74,1.029,-0.570,3.2,4.8,4.3,12.3,2.60,4.32
127,2,75,1.029,-0.550,3.1,4.7,3.8,11.6,3.58,4.09
128,2,76,1.028,-0.530,3.0,4.5,3.5,11.0,3.32,4.68
129,2,77,1.028,-0.520,3.0,4.5,3.4,10.9,2.30,3.98
130,2,78,1.029,-0.540,3.1,4.7,3.8,11.6,3.65,4.64
131,2,79,1.028,-0.540,3.0,4.6,4.1,11.7,4.27,4.75
132,2,80,1.029,-0.540,3.1,4.7,4.2,12.0,2.90,4.10
133,2,81,1.028,-0.560,3.1,4.7,4.6,12.4,3.93,4.54
134,2,82,1.026,-0.480,2.8,4.2,3.1,10.1,4.10,4.76
135,2,83,1.028,-0.710,3.2,4.8,5.5,13.5,3.51,4.40
136,2,84,1.029,-0.540,3.1,4.6,2.9,10.6,3.88,4.09
137,2,85,1.027,-0.570,3.1,4.7,5.1,12.9,4.33,4.37
138,2,86,1.029,-0.550,3.1,4.7,3.9,11.7,3.94,4.33
139,2,87,1.028,-0.540,3.0,4.6,4.3,11.9,3.88,4.88
140,2,88,1.028,-0.550,3.1,4.7,4.3,12.1,3.73,4.33
141,2,89,1.029,-0.520,3.1,4.7,4.1,11.9,3.94,4.64
142,2,90,1.025,-0.490,2.8,4.2,4.0,11.0,4.19,4.94
143,2,91,1.028,-0.520,2.9,4.4,3.4,10.7,2.70,4.32
144,2,92,1.028,-0.560,3.1,4.7,5.0,12.8,3.88,4.51
145,2,93,1.028,-0.550,3.1,4.7,4.3,12.1,2.60,4.05
146,2,94,1.028,-0.520,3.0,4.5,3.8,11.3,3.81,4.05
147,2,95,1.028,-0.530,3.0,4.5,3.8,11.3,3.81,4.05
148,2,96,1.030,-0.550,3.1,4.7,2.8,10.6,3.32,4.51
149,2,97,1.030,-0.600,3.3,5.0,5.0,13.3,3.94,4.36
150,2,98,1.030,-0.600,3.3,5.0,4.8,13.1,2.85,4.33
151,2,99,1.027,-0.540,3.0,4.5,5.4,12.9,3.63,4.74
152,2,100,1.030,-0.560,3.3,4.9,4.8,13.0,3.40,4.34
153,2,101,1.025,-0.480,2.7,4.1,3.9,10.7,4.16,4.58
154,2,102,1.019,-0.500,2.6,4.0,5.0,11.6,4.24,4.68
155,2,103,1.030,-0.570,3.2,4.8,4.0,12.0,3.73,4.12
156,2,104,1.028,-0.560,3.1,4.7,5.2,13.0,3.08,3.99
157,2,105,1.030,-0.550,3.1,4.7,2.9,10.7,3.51,4.51
158,2,106,1.033,-0.620,3.5,5.2,3.5,12.2,3.34,4.33
159,2,107,1.031,-0.600,3.4,5.1,4.7,13.2,3.73,4.19
160,2,108,1.029,-0.580,3.2,4.9,4.8,12.9,3.51,3.90
161,2,109,1.031,-0.620,3.4,5.0,4.8,13.2,3.08,4.16
162,2,110,1.032,-0.630,3.5,5.2,4.7,13.4,2.78,4.12
163,2,111,1.033,-0.650,3.6,5.4,4.8,13.8,3.73,4.40
164,2,112,1.026,-0.480,2.7,4.1,3.3,10.1,3.86,4.83
165,2,113,1.028,-0.550,3.1,4.7,4.4,12.2,3.63,4.32
166,2,114,1.032,-0.630,3.5,5.3,4.5,13.3,3.81,4.05
167,2,115,1.029,-0.550,3.2,4.8,4.3,12.3,3.51,4.36
168,2,116,1.031,-0.610,3.4,5.1,4.5,13.0,3.63,4.33
169,2,117,1.031,-0.610,3.4,5.1,5.1,13.6,3.73,3.99
170,2,118,1.031,-0.610,3.4,5.1,5.2,13.7,3.08,4.06
171,2,119,1.032,-0.610,3.4,5.1,3.8,12.3,3.63,4.33
172,2,120,1.029,-0.550,3.1,4.7,3.4,11.2,3.66,4.05
173,2,121,1.028,-0.540,3.0,4.6,4.1,11.7,4.12,4.33
174,2,122,1.030,-0.550,3.1,4.7,3.3,11.1,3.73,4.22
175,2,123,1.029,-0.570,3.2,4.8,5.1,13.1,2.60,3.94
176,2,124,1.030,-0.580,3.3,5.0,4.3,12.6,3.72,4.39
177,2,125,1.030,-0.550,3.1,4.7,3.3,11.1,3.73,4.22
178,2,126,1.029,-0.570,3.2,4.8,5.1,13.1,2.60,3.94
179,2,127,1.030,-0.580,3.3,5.0,4.3,12.6,3.72,4.39
180,2,128,1.028,-0.590,3.0,4.5,3.8,11.3,3.51,4.70
181,2,129,1.031,-0.570,3.2,4.9,3.3,11.4,3.08,4.32
182,2,130,1.030,-0.570,3.3,5.0,4.8,13.1,3.76,4.22
183,2,131,1.031,-0.600,3.4,5.1,3.8,12.3,3.49,4.41
184,2,132,1.030,-0.620,3.4,5.1,6.2,14.7,3.65,4.04
185,2,133,1.024,-0.490,2.6,4.0,3.7,10.3,4.33,4.75
186,2,134,1.031,-0.580,3.3,4.9,3.7,11.9,3.51,4.25
187,2,135,1.032,-0.600,3.4,5.1,3.8,12.3,3.63,4.33
188,2,136,1.032,-0.620,3.5,5.2,4.6,13.3,3.18,4.44
189,2,137,1.024,-0.480,2.6,4.0,4.8,11.4,4.51,4.68
190,2,138,1.031,-0.570,3.3,5.0,3.5,11.8,3.81,4.48
191,2,139,1.029,-0.580,3.2,4.9,4.9,13.0,3.54,4.34
192,2,140,1.031,-0.580,3.3,4.9,3.8,12.0,3.73,4.47
193,2,141,1.028,-0.560,3.1,4.7,4.8,12.6,3.23,4.33
194,2,142,1.026,-0.500,2.8,4.3,4.5,11.6,3.08,3.96
195,2,143,1.032,-0.620,3.4,5.2,4.7,13.3,3.51,4.40
196,2,144,1.029,-0.580,3.2,4.8,5.2,13.2,3.32,4.32
197,2,145,1.032,-0.620,3.5,5.2,4.5,13.2,3.94,4.52
198,2,146,1.028,-0.600,3.2,4.9,6.2,14.3,3.36,4.63
199,2,147,1.031,-0.600,3.3,5.0,3.7,12.0,3.81,4.03
200,2,148,1.030,-0.580,3.2,4.9,4.1,12.2,3.73,4.27
201,2,149,1.031,-0.620,3.4,5.2,5.3,13.9,3.81,4.30
202,2,150,1.029,-0.560,3.1,4.7,4.2,12.0,3.51,4.52
203,2,151,1.025,-0.450,2.6,4.0,2.6,9.2,4.64,4.73
204,2,152,1.032,-0.620,3.5,5.2,4.5,13.2,3.94,4.52
205,2,153,1.028,-0.500,2.9,4.4,2.9,10.2,3.63,4.66
206,2,154,1.031,-0.580,3.3,4.9,3.3,11.5,3.53,4.34
207,2,155,1.030,-0.570,3.2,4.9,3.9,12.0,3.36,4.64
208,2,156,1.030,-0.580,3.2,4.9,4.6,12.7,3.15,4.32
209,2,157,1.031,-0.600,3.3,5.0,4.4,12.7,3.52,4.44
210,2,158,1.030,-0.590,3.3,5.0,5.0,13.3,3.36,4.37
211,2,159,1.027,-0.520,3.0,4.5,4.1,11.6,3.73,4.37
212,2,160,1.029,-0.540,3.1,4.6,3.1,10.8,3.23,4.42
213,2,161,1.029,-0.550,3.1,4.7,4.1,11.9,3.74,4.37
214,2,162,1.029,-0.560,3.2,4.8,4.3,12.3,3.04,4.37
215,2,163,1.030,-0.610,3.3,5.0,5.7,14.0,3.73,4.31
216,2,164,1.029,-0.540,3.1,4.7,2.9,10.7,3.58,4.47
217,2,165,1.032,-0.640,3.5,5.3,5.2,14.0,3.32,4.34
218,2,166,1.031,-0.580,3.3,4.9,3.7,11.9,3.81,4.64
219,2,167,1.028,-0.560,3.1,4.7,5.2,13.0,3.46,4.27
220,2,168,1.027,-0.530,3.0,4.5,5.1,12.6,3.72,4.47
221,2,169,1.028,-0.530,3.0,4.5,3.6,11.1,3.23,4.46
222,2,170,1.028,-0.540,3.0,4.6,3.9,11.5,3.52,4.46
223,2,171,1.029,-0.560,3.2,4.8,4.1,12.1,3.81,4.46
224,3,1,1.029,-0.520,3.2,4.8,4.5,12.5,3.26,2.90
225,3,2,1.029,-0.560,3.5,5.3,4.5,13.3,3.18,1.30
226,3,3,1.029,-0.545,3.5,4.5,3.6,11.6,3.34,2.43
227,3,4,1.031,-0.571,3.2,4.9,2.9,11.0,3.23,4.63
228,3,5,1.032,-0.598,3.4,5.1,3.6,12.1,2.78,4.53
229,3,6,1.032,-0.603,3.4,5.1,3.2,11.7,3.00,4.94
230,3,7,1.032,-0.593,3.3,5.0,3.3,11.6,2.78,4.83
231,3,8,1.029,-0.521,3.0,4.5,2.7,10.2,2.60,4.89
232,3,9,1.030,-0.561,3.2,4.8,3.3,11.3,2.70,4.87
233,3,10,1.030,-0.579,3.2,4.9,4.0,12.1,3.49,4.91
234,3,11,1.029,-0.549,3.1,4.7,3.5,11.3,2.60,4.89
235,3,12,1.028,-0.532,3.0,4.5,3.8,11.3,3.52,4.37
236,3,13,1.031,-0.583,3.3,5.0,3.4,11.7,2.60,4.72
237,3,14,1.031,-0.604,3.4,5.1,4.4,12.9,2.00,4.85
238,3,15,1.030,-0.594,3.3,5.0,4.6,12.9,2.00,4.77
239,3,16,1.031,-0.606,3.4,5.1,4.7,13.2,3.34,4.80
240,3,17,1.029,-0.607,3.1,4.6,3.3,11.0,3.26,4.26
241,3,18,1.028,-0.549,3.0,4.6,4.5,12.1,3.85,4.37
242,3,19,1.029,-0.547,3.1,4.7,4.0,11.8,3.61,4.56
243,3,20,1.029,-0.544,3.1,4.6,3.8,11.5,3.45,3.98
244,3,21,1.030,-0.589,3.3,4.9,5.0,13.2,3.72,4.27
245,3,22,1.032,-0.625,3.5,5.2,4.2,12.9,3.04,4.58
246,3,23,1.030,-0.577,3.2,4.9,4.1,12.2,3.65,4.09
247,3,24,1.031,-0.597,3.3,5.0,4.4,12.7,3.68,4.51
248,3,25,1.030,-0.541,3.1,4.7,2.5,10.3,3.72,4.38
249,3,26,1.029,-0.557,3.1,4.7,4.0,11.8,3.15,4.36
250,3,27,1.029,-0.559,3.1,4.7,4.5,12.3,3.67,4.43
251,3,28,1.029,-0.542,3.1,4.6,3.7,11.4,3.72,4.61
252,3,29,1.029,-0.578,3.2,4.8,5.1,13.1,3.53,4.51
253,3,30,1.029,-0.656,3.2,4.8,4.5,12.5,3.34,4.24
254,3,31,1.031,-0.620,3.4,5.1,5.3,13.8,3.65,4.64
255,3,32,1.027,-0.524,3.0,4.5,4.1,11.6,3.32,4.27
256,3,33,1.031,-0.630,3.5,5.2,5.3,14.0,3.57,4.44
257,3,34,1.032,-0.594,3.4,5.1,3.2,11.7,3.38,4.34
258,3,35,1.029,-0.555,3.1,4.7,3.8,11.6,3.51,4.27
259,3,36,1.031,-0.574,3.2,4.9,3.5,11.6,1.45,4.64
260,3,37,1.032,-0.646,3.6,5.4,5.1,14.1,3.88,4.33
261,3,38,1.031,-0.606,3.4,5.1,4.4,12.9,3.32,4.51
262,3,39,1.033,-0.642,3.5,5.3,4.8,13.6,3.63,4.30
263,3,40,1.031,-0.591,3.3,5.0,4.1,12.4,3.73,4.33
264,3,41,1.029,-0.570,3.2,4.8,4.9,12.9,3.51,4.25
265,3,42,1.032,-0.578,3.3,5.0,2.0,10.3,3.08,4.61
266,3,43,1.031,-0.570,3.2,4.9,3.3,11.4,3.81,4.27
267,3,44,1.028,-0.527,3.0,4.5,3.1,10.6,3.63,4.44
268,3,45,1.029,-0.568,3.2,4.8,4.3,12.3,3.32,4.30
269,3,46,1.030,-0.578,3.2,4.9,4.5,12.6,3.73,4.44
270,4,1,1.032,-0.620,3.5,5.3,4.5,13.3,1.48,2.30
271,4,2,1.026,-0.510,2.9,4.3,4.0,11.2,1.40,2.70
272,4,3,1.031,-0.570,3.3,5.0,4.0,12.3,2.00,2.36
273,4,4,1.030,-0.580,3.3,4.9,4.7,12.9,2.60,2.18
274,4,5,1.029,-0.540,3.1,4.7,3.7,11.5,2.65,2.45
275,4,6,1.030,-0.520,3.0,4.6,1.4,9.0,3.08,3.28
276,4,7,1.034,-0.600,3.5,5.2,1.5,10.2,4.65,4.60
277,4,8,1.027,-0.530,3.0,4.5,4.5,12.0,3.18,3.48
278,4,9,1.029,-0.590,3.3,5.0,5.6,13.9,2.54,2.20
279,4,10,1.029,-0.560,3.2,4.8,4.8,12.8,2.45,2.24
280,4,11,1.025,-0.500,2.9,4.3,3.8,11.0,2.65,3.08
281,4,12,1.032,-0.620,3.4,5.2,4.9,13.5,1.70,2.57
282,4,13,1.029,-0.550,3.1,4.7,4.3,12.1,3.38,3.20
283,4,14,1.028,-0.550,3.1,4.7,4.8,12.6,3.66,3.30
284,4,15,1.030,-0.560,3.2,4.8,3.6,11.6,1.60,2.26
285,4,16,1.031,-0.159,3.3,5.0,3.7,12.0,2.78,2.20
286,4,17,1.029,-0.560,3.1,4.7,3.7,11.5,1.90,2.43
287,4,18,1.030,-0.590,3.2,4.9,4.8,12.9,2.85,2.28
288,4,19,1.030,-0.570,3.2,4.1,3.8,11.1,2.75,2.27
289,4,20,1.028,-0.523,3.0,4.5,3.6,11.1,1.60,2.60
290,4,21,1.028,-0.526,3.0,4.6,3.5,11.1,1.85,2.50
291,4,22,1.026,-0.533,3.0,4.5,5.3,12.8,3.30,2.51
292,4,23,1.028,-0.514,2.9,4.4,3.4,10.7,3.70,3.46
293,4,24,1.028,-0.535,3.0,4.6,4.1,11.7,1.70,2.60
294,4,25,1.023,-0.431,2.5,3.8,3.3,9.6,2.85,2.51
295,4,26,1.028,-0.545,3.5,4.4,3.5,11.4,2.77,2.47
296,4,27,1.029,-0.536,3.1,4.5,3.4,11.0,2.78,2.53
297,4,28,1.028,-0.531,3.0,4.6,5.3,12.9,1.95,2.47
298,4,29,1.028,-0.514,3.0,4.5,3.5,11.0,2.60,3.29
299,4,30,1.029,-0.515,3.1,4.6,3.7,11.4,5.18,2.30
300,4,31,1.028,-0.531,3.0,4.6,3.3,10.9,2.49,3.57
301,4,32,1.028,-0.530,3.5,4.1,3.1,10.7,2.48,3.30
302,4,33,1.029,-0.540,3.1,4.6,3.7,11.4,2.40,3.08
303,4,34,1.029,-0.540,3.5,4.6,3.7,11.8,2.40,3.08
304,4,35,1.026,-0.522,2.9,4.4,5.2,12.5,2.36,3.38
305,4,36,1.028,-0.501,2.8,4.2,5.0,12.0,4.08,3.60
306,4,37,1.028,-0.520,3.0,4.5,3.3,10.8,1.30,1.91
307,4,38,1.026,-0.492,2.8,4.2,3.6,10.6,2.76,3.23
308,4,39,1.023,-0.532,2.9,4.3,4.8,12.0,2.90,3.23
309,4,40,1.024,-0.410,2.6,3.9,3.3,9.8,1.70,3.04
310,4,41,1.027,-0.490,2.8,4.3,3.2,10.3,1.85,2.89
311,4,42,1.029,-0.530,3.1,4.6,2.4,10.1,1.00,2.99
312,4,43,1.030,-0.519,3.0,4.5,1.6,9.1,2.90,2.89
313,4,44,1.028,-0.578,3.2,4.8,6.2,14.2,1.30,3.08
314,4,45,1.026,-0.532,2.9,4.4,6.1,13.4,1.48,3.20
315,4,46,1.025,-0.476,2.7,4.1,4.0,10.8,3.08,3.99
316,4,47,1.023,-0.469,2.5,3.9,3.1,9.5,1.70,1.95
317,4,48,1.029,-0.459,3.1,5.0,4.3,12.4,1.85,3.26
318,4,49,1.029,-0.544,3.1,4.6,3.7,11.4,2.40,3.28
319,4,50,1.025,-0.469,2.7,4.1,3.4,10.2,1.70,2.95
320,4,51,1.024,-0.506,2.8,4.2,3.6,10.6,1.90,3.32
321,4,52,1.028,-0.537,3.0,4.6,4.1,11.7,1.48,1.70
322,4,53,1.026,-0.523,2.9,4.4,4.9,12.2,1.90,2.40
323,4,54,1.028,-0.536,3.0,4.6,3.8,11.4,1.95,2.65
324,4,55,1.029,-0.557,3.1,4.7,4.0,11.8,3.73,4.49
325,4,56,1.029,-0.553,3.1,4.7,3.5,11.3,3.32,4.44
326,4,57,1.030,-0.585,3.3,4.9,4.7,12.9,3.52,4.37
327,4,58,1.028,-0.521,3.0,4.5,3.4,10.9,3.66,4.09
328,4,59,1.028,-0.548,3.1,4.6,4.2,11.9,3.57,4.37
329,4,60,1.027,-0.523,3.0,4.5,4.0,11.5,3.04,4.63
330,4,61,1.028,-0.531,3.0,4.5,4.0,11.5,3.54,4.33
331,4,62,1.029,-0.542,3.1,4.6,3.7,11.4,3.61,4.27
332,4,63,1.029,-0.575,3.2,4.8,4.7,12.7,3.54,4.51
333,4,64,1.027,-0.535,3.0,4.5,4.5,12.0,3.38,3.99
334,4,65,1.028,-0.530,3.0,4.5,3.4,10.9,3.63,4.53
335,4,66,1.032,-0.612,3.4,5.2,3.9,12.5,3.45,4.34
336,4,67,1.030,-0.590,3.3,5.0,4.6,12.9,3.72,4.37
337,4,68,1.032,-0.614,3.4,5.1,4.4,12.9,3.08,4.13
338,4,69,1.029,-0.550,3.1,4.7,3.7,11.5,3.81,4.53
339,4,70,1.029,-0.561,3.1,4.7,4.6,12.4,3.63,4.36
340,5,1,1.025,-0.470,2.7,4.1,3.5,10.3,3.40,2.78
341,5,2,1.030,-0.550,3.1,4.7,3.4,11.2,3.15,3.30
342,5,3,1.030,-0.560,3.2,4.8,3.0,11.0,2.90,3.70
343,5,4,1.026,-0.614,3.5,4.3,3.5,11.3,3.00,3.00
344,5,5,1.028,-0.490,3.1,4.4,3.4,10.9,3.30,2.70
345,5,6,1.027,-0.510,3.3,4.6,3.6,11.5,1.70,3.30
346,5,7,1.028,-0.510,3.3,4.1,3.6,11.0,2.43,3.23
347,5,8,1.027,-0.510,3.5,4.5,3.0,11.0,3.15,3.48
348,5,9,1.029,-0.560,3.5,5.3,4.5,13.3,3.18,2.85
349,5,10,1.027,-0.490,3.8,2.8,3.9,10.5,3.00,3.00
350,5,11,1.029,-0.560,3.2,4.5,3.7,11.4,1.90,2.70
351,5,12,1.029,-0.570,2.9,4.5,3.6,11.0,3.18,2.85
352,5,13,1.029,-0.580,2.8,4.5,3.4,10.7,2.78,2.24
353,5,14,1.029,-0.560,3.1,4.7,3.7,11.5,2.38,2.60
354,5,15,1.028,-0.490,3.0,4.6,3.6,11.2,2.44,2.54
